Study_word,Test_Fragment,Old_new,textbox.text,,,,
Rocket,R_ck_t,Old, rocket,,,,correct old
Cloud,Cl_u_,Old, cloud,,,,15/15
Summer ,S_m_e_,Old,summer,,,,
Garden,G_r_en,Old, garden,,,,correct new
Turtle,T_r_le,Old, turtle,,,,5//5
Apple,A_p_e,Old, apple ,,,,
Banana,B_a_a,Old,banana,,,,
Guitar,G_it_r,Old,guitar,,,,
Purple,P_rp_e,Old, purple,,,,
Spider,S_i_er,Old, spider ,,,,
Coffee,C_f_e_,Old,coffee,,,,
Chair,Ch_i_,Old, chair,,,,
Window,W_n_o_,Old, window ,,,,
Dragon,D_a_on,Old,dragon,,,,
Circle,C_rcl_,Old, circle,,,,
River,R_ve_,New, river,,,,
Ocean,O_ea_,New, ocean,,,,
Carrot,C_rr_t,New, carrot ,,,,
Table,T_b_e,New, table ,,,,
Flower,F_ow_r,New,flower ,,,,
