Study_word,Test_Fragment,Old_new,textbox.text,,,
Guitar,G_it_r,Old, Guitar,,,correct old
Window,W_n_o_,Old, Window,,,15/15
Chair,Ch_i_,Old, Chair,,,
Coffee,C_f_e_,Old, Coffee,,,correct new
Dragon,D_a_on,Old, Dragon ,,,5//5
Spider,S_i_er,Old,Spider,,,
Cloud,Cl_u_,Old, Cloud,,,
Garden,G_r_en,Old, Garden,,,
Apple,A_p_e,Old, Apple,,,
Banana,B_a_a,Old, Banana ,,,
Summer ,S_m_e_,Old,Summer ,,,
Purple,P_rp_e,Old,Purple,,,
Circle,C_rcl_,Old, Circle,,,
Rocket,R_ck_t,Old, Rocket,,,
Turtle,T_r_le,Old, Turtle,,,
Carrot,C_rr_t,New,Carrot,,,
Flower,F_ow_r,New, Flower,,,
Table,T_b_e,New, Table,,,
Ocean,O_ea_,New, Ocean,,,
River,R_ve_,New, River,,,
