Study_word,Test_Fragment,Old_new,textbox.text,,,,
Apple,A_p_e,Old, apple ,,,,
Purple,P_rp_e,Old,purple,,,,correct old
Coffee,C_f_e_,Old, coffee ,,,,11//15
Garden,G_r_en,Old,garden,,,,
Dragon,D_a_on,Old, dragon,,,,correct new
Banana,B_a_a,Old,empty,,,,5//5
Guitar,G_it_r,Old, guitar,,,,
Rocket,R_ck_t,Old,empty,,,,
Summer ,S_m_e_,Old,empty,,,,
Circle,C_rcl_,Old,circle ,,,,
Turtle,T_r_le,Old,turtle,,,,
Cloud,Cl_u_,Old,empty,,,,
Window,W_n_o_,Old, window,,,,
Chair,Ch_i_,Old,chair,,,,
Spider,S_i_er,Old, spider ,,,,
Carrot,C_rr_t,New, carrot,,,,
Ocean,O_ea_,New, ocean ,,,,
River,R_ve_,New, river,,,,
Flower,F_ow_r,New, flower ,,,,
Table,T_b_e,New, table,,,,
