Study_word,Test_Fragment,Old_new,textbox.text,,
Turtle,T_r_le,Old,turtle,,
Garden,G_r_en,Old, garden,,
Cloud,Cl_u_,Old, cloud,,correct old
Window,W_n_o_,Old, window,,13//15
Banana,B_a_a,Old, banana,,
Guitar,G_it_r,Old, guitar,,correct new
Chair,Ch_i_,Old,empty,,5//5
Coffee,C_f_e_,Old,coffee ,,
Purple,P_rp_e,Old,purple ,,
Apple,A_p_e,Old, apple,,
Spider,S_i_er,Old,empty,,
Summer ,S_m_e_,Old, summer,,
Rocket,R_ck_t,Old, rocket,,
Dragon,D_a_on,Old, dragon,,
Circle,C_rcl_,Old, circle,,
Flower,F_ow_r,New, flower,,
River,R_ve_,New, river,,
Carrot,C_rr_t,New, carrot,,
Ocean,O_ea_,New,orange ,,
Table,T_b_e,New,table,,
