Study_word,Test_Fragment,Old_new,textbox.text,,,
Guitar,G_it_r,Old, guitar,,,
Circle,C_rcl_,Old, circle,,,correct old
Cloud,Cl_u_,Old, cloud,,,13//15
Banana,B_a_a,Old, banana,,,
Window,W_n_o_,Old, window,,,
Summer ,S_m_e_,Old, summer,,,correct new
Dragon,D_a_on,Old, dragon ,,,3//5
Garden,G_r_en,Old, garden,,,
Rocket,R_ck_t,Old, rocket,,,
Apple,A_p_e,Old, apple ,,,
Coffee,C_f_e_,Old,coffee,,,
Spider,S_i_er,Old,empty,,,
Purple,P_rp_e,Old, purple ,,,
Chair,Ch_i_,Old,empty,,,
Turtle,T_r_le,Old, turtle ,,,
River,R_ve_,New,empty,,,
Table,T_b_e,New, table,,,
Carrot,C_rr_t,New, carrot,,,
Flower,F_ow_r,New,flower,,,
Ocean,O_ea_,New,empty,,,
